About,Om,
Action Type,Åtgärd Typ,
Actual Date,Faktisk Datum,
Archive,Arkivera,
Archived,Arkiverad,
Attachments,Bilagor,
Branch,Bransch,
Category,Kategori,
Channel,Skicka Med,
Comment,Kommentar,
Company,Bolag,
Completed,Klar,
Contact,Kontakt,
Customer,Kund,
Date,Datum,
Delete Demo Data,Ta bort Demo Data,
Department,Avdelning,
Description,Beskrivning,
Documents,Dokument ,
Done,Klart,
Download,Ladda ner,
Draft,Utkast,
Due Date,Förfallo Datum,
Employee,Personal,
Event Type,Händelse Typ,
File Name,Fil Namn,
Frappe Support,Frappe Support,
From User,Från Användare,
IP Address,IP Adress,
Incoming,Inkommande,
Internal,Intern,
Keyboard Shortcuts,Kort Kommando,
Login,Logga In,
Normal,Normal,
Note,Anteckning,
Open,Öppen,
Outgoing,Utgående,
Party,Parti,
Party Type,Parti Typ,
Pending Review,Väntar på Recension ,
Portal,Portal,
Prefix,Prefix,
Priority,Prioritet,
QR Code,QR Kod,
Reason,Anledning,
Reference Document Type,Referens Dokument Typ,
Reference Name,Referens Namn,
Reference No,Referens Nummer. ,
Rejected,Avvisad,
Reply,Svara,
Request Type,Begäran Typ,
Responsible,Ansvarig,
Result,Resultat,
Scan,Skanna,
Sent,Skickad,
Status,Status,
Subject,Ämne,
Submit,Godkänn,
Success,Lyckad,
Supplier,Leverantör,
System Health,System Status,
System Manager,System Ansvarig,
Title,Benämning,
Urgent,Brådskande,
User,Användare,
View,Visa,
