About,О,
Action Type,Врста радње,
Actual Date,Стварни датум,
Archive,Архивирај,
Archived,Архивирано,
Attachments,Прилози,
Branch,Филијала,
Category,Категорија,
Channel,Канал,
Comment,Коментар,
Company,Компанија,
Completed,Завршено,
Contact,Контакт,
Customer,Купац,
Date,Датум,
Delete Demo Data,Обриши демо податке,
Department,Одељење,
Description,Опис,
Documents,Документа,
Done,Завршено,
Download,Преузми,
Draft,Нацрт,
Due Date,Датум доспећа,
Employee,Запослено лице,
Event Type,Врста догађаја,
File Name,Назив фајла,
Frappe Support,Frappe подршка,
From User,Од корисника,
IP Address,IP адреса,
Incoming,Улазни,
Internal,Интерни,
Keyboard Shortcuts,Пречице на тастатури,
Login,Пријава,
Normal,Нормално,
Note,Напомена,
Open,Отворено,
Outgoing,Излазни,
Party,Странка,
Party Type,Врста странке,
Pending Review,Преглед на чекању,
Portal,Портал,
Prefix,Префикс,
Priority,Приоритет,
QR Code,QR код,
Reason,Разлог,
Reference Document Type,Врста референтног документа,
Reference Name,Назив референце,
Reference No,Број референце,
Rejected,Одбијено,
Reply,Одговори,
Request Type,Врста захтева,
Responsible,Одговоран,
Result,Резултат,
Scan,Скенирање,
Sent,Послато,
Status,Статус,
Subject,Наслов,
Submit,Поднеси,
Success,Успех,
Supplier,Добављач,
System Health,Стање система,
System Manager,Систем менаџер,
Title,Наслов,
Urgent,Хитно,
User,Корисник,
View,Приказ,
