About,درباره,
Action Type,نوع اقدام,
Actual Date,تاریخ واقعی,
Archive,بایگانی,
Archived,بایگانی شده,
Attachments,پیوست‌ها,
Branch,شاخه,
Category,دسته‌بندی,
Channel,کانال,
Comment,دیدگاه,
Company,شرکت,
Completed,تکمیل شده,
Contact,مخاطب,
Customer,مشتری,
Date,تاریخ,
Delete Demo Data,حذف داده‌های آزمایشی,
Department,دپارتمان,
Description,شرح,
Documents,اسناد,
Done,انجام شده,
Download,دانلود,
Draft,پیش‌نویس,
Due Date,تاریخ سررسید,
Employee,کارمند,
Event Type,نوع رویداد,
File Name,نام فایل,
Frappe Support,پشتیبانی Frappe,
From User,از کاربر,
IP Address,آدرس IP,
Incoming,ورودی,
Internal,داخلی,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Login,ورود,
Note,یادداشت,
Open,باز,
Outgoing,خروجی,
Party,طرف,
Party Type,نوع طرف,
Pending Review,در انتظار بررسی,
Portal,پورتال,
Prefix,پیشوند,
Priority,اولویت,
QR Code,کد QR,
Reason,دلیل,
Reference Document Type,نوع سند مرجع,
Reference Name,نام مرجع,
Reference No,شماره مرجع,
Rejected,رد شده,
Reply,پاسخ,
Request Type,نوع درخواست,
Responsible,مسئول,
Result,نتیجه,
Scan,اسکن,
Sent,ارسال شد,
Status,وضعیت,
Subject,موضوع,
Submit,ارسال,
Success,موفقیت,
Supplier,تأمین‌کننده,
System Health,سلامت سیستم,
System Manager,مدیر سیستم,
Title,عنوان,
Urgent,فوری,
User,کاربر,
View,نما,
