About,Über,
Action Type,Aktionstyp,
Actual Date,Ist-Datum,
Archive,Archivieren,
Archived,Archiviert,
Attachments,Anhänge,
Branch,Betrieb,
Category,Kategorie,
Channel,Kanal,
Comment,Kommentar,
Company,Unternehmen,
Completed,Abgeschlossen,
Contact,Kontakt,
Customer,Kunde,
Date,Datum,
Delete Demo Data,Demodaten löschen,
Department,Abteilung,
Description,Beschreibung,
Documents,Dokumente,
Done,Erledigt,
Download,Herunterladen,
Draft,Entwurf,
Due Date,Fälligkeitsdatum,
Employee,Mitarbeiter,
Event Type,Ereignistyp,
File Name,Dateiname,
Frappe Support,Frappe Support,
From User,Von Benutzer,
IP Address,IP-Adresse,
Incoming,Eingehend,
Internal,Intern,
Keyboard Shortcuts,Tastaturkürzel,
Login,Anmelden,
Normal,Normal,
Note,Anmerkung,
Open,Offen,
Outgoing,Ausgang,
Party,Partei,
Party Type,Partei-Typ,
Pending Review,Wartet auf Überprüfung,
Portal,Portal,
Prefix,Präfix,
Priority,Priorität,
QR Code,QR-Code,
Reason,Grund,
Reference Document Type,Referenz-Dokumententyp,
Reference Name,Referenzname,
Reference No,Referenznummer,
Rejected,Abgelehnt,
Reply,Antworten,
Request Type,Anfragetyp,
Responsible,Verantwortlich,
Result,Ergebnis,
Scan,Scannen,
Sent,Gesendet,
Status,Status,
Subject,Betreff,
Submit,Buchen,
Success,Erfolgreich,
Supplier,Lieferant,
System Health,Systemgesundheit,
System Manager,System-Manager,
Title,Titel,
Urgent,Dringend,
User,Benutzer,
View,Ansicht,
