About,A Propos,
Action Type,Type d'action,
Actual Date,Date Réelle,
Archive,Archiver,
Archived,Archivé,
Attachments,Pièces jointes,
Branch,Branche,
Category,Catégorie,
Channel,Canal,
Comment,Commentaire,
Company,Société,
Completed,Terminé,
Customer,Client,
Date,Date,
Department,Département,
Description,Description,
Done,Terminé,
Download,Télécharger,
Draft,Brouillon,
Due Date,Date d'échéance,
Employee,Employé,
Event Type,Type d'événement,
File Name,Nom du fichier,
Frappe Support,Support Frappe,
From User,De l'utilisateur,
IP Address,Adresse IP,
Incoming,Entrant,
Keyboard Shortcuts,Raccourcis clavier,
Login,Connexion,
Normal,Normal,
Note,Note,
Open,Ouvrir,
Outgoing,Sortant,
Party,Tiers,
Party Type,Type de Tiers,
Pending Review,Revue en Attente,
Prefix,Préfixe,
Priority,Priorité,
QR Code,Code QR,
Reason,Raison,
Reference Document Type,Type de document de référence,
Reference Name,Nom de référence,
Rejected,Rejeté,
Reply,Répondre,
Request Type,Type de Demande,
Responsible,Responsable,
Result,Résultat,
Scan,Scanner,
Sent,Envoyé,
Status,Statut,
Subject,Objet,
Submit,Valider,
Success,Succès,
Supplier,Fournisseur,
System Health,Santé du système,
System Manager,Gestionnaire système,
Title,Titre,
User,Utilisateur,
View,Vue,
