About,အကြောင်း,
Action Type,လုပ်ဆောင်ချက် အမျိုးအစား,
Archive,မှတ်တမ်းတင်,
Archived,မှတ်တမ်းတင်ပြီး,
Attachments,ပူးတွဲဖိုင်များ,
Category,အမျိုးအစား,
Channel,ချန်နယ်,
Comment,မှတ်ချက်,
Company,လုပ်ငန်း,
Completed,ပြီးဆုံးပြီ,
Contact,အဆက်အသွယ်,
Customer,ဝယ်သူ,
Date,ရက်စွဲ,
Department,ဌာန,
Description,ဖော်ပြချက်,
Documents,စာရွက်စာတမ်းများ,
Done,ပြီးပါပြီ,
Download,ဒေါင်းလုဒ်,
Draft,မူကြမ်း,
Due Date,သတ်မှတ်ရက်,
Employee,ဝန်ထမ်း,
Event Type,ဖြစ်ရပ် အမျိုးအစား,
File Name,ဖိုင်အမည်,
Frappe Support,Frappe ပံ့ပိုးမှု,
From User,အသုံးပြုသူထံမှ,
IP Address,IP လိပ်စာ,
Incoming,ဝင်လာသော,
Keyboard Shortcuts,ကီးဘုတ်ဖြတ်လမ်းများ,
Login,ဝင်ရောက်ရန်,
Note,မှတ်ချက်,
Open,ဖွင့်,
Outgoing,အထွက်,
Prefix,ရှေ့ဆက်,
Priority,ဦးစားပေး,
QR Code,QR ကုဒ်,
Reason,အကြောင်းပြချက်,
Reference Document Type,ရည်ညွှန်းစာရွက်စာတမ်းအမျိုးအစား,
Reference Name,ရည်ညွှန်းအမည်,
Rejected,ပယ်ချခဲ့သည်,
Reply,ပြန်ကြားချက်,
Result,ရလဒ်,
Scan,စကင်ဖတ်ပါ,
Sent,ပို့ပြီး,
Status,အခြေအနေ,
Subject,အကြောင်းအရာ,
Submit,အတည်ပြုမည်။,
Success,အောင်မြင်မှု,
Supplier,ဝယ်သူ,
System Health,စနစ်ကျန်းမာရေး,
System Manager,စနစ်စီမံခန့်ခွဲသူ,
Title,ခေါင်းစဉ်,
User,အသုံးပြုသူ,
View,မြင်ကွင်း,
