About,Hakkında,
Action Type,Eylem Türü,
Actual Date,Gerçekleşen Tarih,
Archive,Arşiv,
Archived,Arşivlendi,
Attachments,Belge Ekleri,
Branch,Görev Bölümü,
Category,Kategori,
Channel,Kanal,
Comment,Yorum,
Company,Şirket,
Completed,Tamamlandı,
Contact,Kişi,
Customer,Müşteri,
Date,Tarih,
Department,Departman,
Description,Açıklama,
Documents,Dokümanlar,
Done,Bitti,
Download,İndir,
Draft,Taslak,
Due Date,Vade Tarihi,
Employee,Personel,
Event Type,Etkinlik Türü,
File Name,Dosya Adı,
Frappe Support,Frappe Desteği,
From User,Kullanıcıdan,
IP Address,IP Adresi,
Incoming,Gelen,
Internal,Dahili,
Keyboard Shortcuts,Klavye Kısayolları,
Login,Giriş,
Note,Not,
Open,Açık,
Outgoing,Giden,
Party,Cari,
Party Type,Cari Türü,
Pending Review,İnceleme Bekliyor,
Portal,Portal,
Prefix,Ön ek,
Priority,Öncelik,
QR Code,QR Kod,
Reason,Nedeni,
Reference Document Type,Referans belge türü,
Reference Name,Referans Adı,
Reference No,Referans No,
Rejected,Reddedildi,
Reply,Yanıtla,
Request Type,Talep Türü,
Responsible,Sorumlu,
Result,Sonuç,
Scan,Tara,
Sent,Gönderildi,
Status,Durum,
Subject,Konu,
Submit,Gönder,
Success,Başarılı,
Supplier,Tedarikçi,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
Title,Başlık,
Urgent,Acil,
User,Kullanıcı,
View,Görünüm,
