About,关于,
Action Type,操作类型,
Actual Date,实际日期,
Archive,档案,
Archived,已存档,
Attachments,附件,
Branch,分支机构（分公司）,
Category,类别,
Channel,渠道,
Comment,评论,
Company,公司,
Completed,已完成,
Completed On,完成日期,
Contact,联系人,
Created On,创建于,
Customer,客户,
Date,日期,
Department,部门,
Description,描述,
Documents,单据,
Done,完成,
Download,下载,
Draft,草稿,
Due Date,到期日,
Employee,员工,
Event Type,事件类型,
File,文件,
File Name,文件名,
Frappe Support,Frappe支持,
From Date,开始日期,
From User,来源用户,
IP Address,IP地址,
Incoming,入站,
Internal,内部,
Keyboard Shortcuts,键盘快捷键,
Login,登录,
Normal,普通,
Note,备注,
Open,待处理,
Outgoing,Outgoing,
Party,往来单位,
Party Type,往来类型,
Pending Review,待审核,
Portal,门户,
Prefix,前缀,
Priority,优先级,
QR Code,二维码,
Reason,原因,
Reference,参考,
Reference Document Type,源单据类型,
Reference Name,源单据,
Reference No,参考编号,
Reference Type,源单据类型,
Rejected,拒绝,
Reply,回复,
Request Type,需求类型,
Responsible,主管,
Result,结果,
Scan,扫描,
Search,搜索,
Sent,已发送,
Status,状态,
Subject,主题,
Submit,提交,
Success,成功,
Successful,成功,
Supplier,供应商,
System Health,系统健康状态,
System Manager,系统管理员,
Title,标题,
To Date,结束日期,
Type,类型,
Urgent,紧急,
User,用户,
View,查看,
