About,เกี่ยวกับ,
Action Type,ประเภทของการดำเนินการ,
Actual Date,วันที่จริง,
Archive,จัดเก็บ,
Archived,จัดเก็บแล้ว,
Attachments,ไฟล์แนบ,
Branch,สาขา,
Category,หมวดหมู่,
Channel,ช่องทาง,
Comment,ความคิดเห็น,
Company,บริษัท,
Completed,เสร็จสิ้น,
Contact,ติดต่อ,
Customer,ลูกค้า,
Date,วันที่,
Department,แผนก,
Description,คำอธิบาย,
Documents,เอกสาร,
Done,เสร็จสิ้น,
Download,ดาวน์โหลด,
Draft,ร่าง,
Due Date,วันที่ครบกำหนด,
Employee,พนักงาน,
Event Type,ประเภทเหตุการณ์,
File Name,ชื่อไฟล์,
Frappe Support,การสนับสนุนฟรัปเป้,
From User,จากผู้ใช้,
IP Address,ที่อยู่ IP,
Incoming,ขาเข้า,
Internal,ภายใน,
Keyboard Shortcuts,ทางลัดแป้นพิมพ์,
Login,เข้าสู่ระบบ,
Normal,ปกติ,
Note,หมายเหตุ,
Open,เปิด,
Outgoing,ขาออก,
Party,คู่สัญญา,
Party Type,ประเภทคู่สัญญา,
Pending Review,อยู่ระหว่างการพิจารณา,
Portal,พอร์ทัล,
Prefix,คำนำหน้า,
Priority,ลำดับความสำคัญ,
QR Code,คิวอาร์โค้ด,
Reason,เหตุผล,
Reference Document Type,ประเภทเอกสารอ้างอิง,
Reference Name,ชื่ออ้างอิง,
Reference No,หมายเลขอ้างอิง,
Rejected,ถูกปฏิเสธ,
Reply,ตอบกลับ,
Request Type,ประเภทคำขอ,
Responsible,ผู้รับผิดชอบ,
Result,ผลลัพธ์,
Scan,สแกน,
Sent,ส่งแล้ว,
Status,สถานะ,
Subject,หัวข้อ,
Submit,ส่ง,
Success,สำเร็จ,
Supplier,ผู้จัดจำหน่าย,
System Health,สุขภาพระบบ,
System Manager,ผู้จัดการระบบ,
Title,ชื่อเรื่อง,
Urgent,เร่งด่วน,
User,ผู้ใช้,
View,ดู,
