About,معلومات عن النظام,
Action Type,نوع العمل,
Actual Date,التاريخ الفعلي,
Archive,أرشيف,
Archived,أرشفة,
Attachments,المرفقات,
Branch,فرع,
Category,فئة,
Channel,قناة,
Comment,تعليق,
Company,شركة,
Completed,أكتمل,
Contact,اتصال,
Correspondence,مراسلة,
Correspondence Category,فئة المراسلة,
Correspondence Employee,موظف مراسلات,
Correspondence Request,طلب مراسلة,
Correspondence Settings,إعدادات المراسلات,
Correspondence Transfer Log,سجل إحالة المراسلة,
Correspondence Type,نوع المراسلة,
Customer,العميل,
Date,تاريخ,
Delivery Sheet,كشف تسليم,
Delivery Sheet Item,بند كشف التسليم,
Department,قسم,
Department Head,مسؤول قسم,
Description,وصف,
Diwan Officer,أمين الديوان,
Documents,وثائق,
Done,مُنجز,
Download,تحميل,
Draft,مشروع,
Due Date,تاريخ الاستحقاق,
Employee,الموظف,
Envelope,مغلف,
Envelope Document,وثيقة المغلف,
Event Type,نوع الحدث,
File Name,اسم الملف,
Follow-up Action,إجراء متابعة,
Frappe Support,دعم فرابيه,
From User,من المستخدم,
IP Address,عنوان IP,
Incoming,الوارد,
Internal,داخلي,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Login,دخول,
Masar Diwan,مسار ديوان,
Note,ملاحظات,
Open,فتح,
Outgoing,الصادر,
Party,الطرف المعني,
Party Type,نوع الطرف,
Pending Review,في انتظار المراجعة,
Portal,البوابة,
Portal Tracking User,مستخدم بوابة التتبع,
Prefix,بادئة,
Priority,أفضلية,
QR Code,رمز الاستجابة السريعة,
Reason,سبب,
Reference Document Type,نوع المستند المرجعي,
Reference Name,اسم المرجع,
Rejected,مرفوض,
Reply,رد,
Request Type,نوع الطلب,
Responsible,مسؤول,
Result,نتيجة,
Scan,مسح,
Senior Management,الإدارة العليا,
Sent,أرسلت,
Status,الحالة,
Subject,موضوع,
Submit,إرسال,
Success,نجاح,
Supplier,المورد,
System Health,صحة النظام,
System Manager,مدير النظام,
Title,العنوان,
Urgent,عاجل,
User,المستعمل,
View,عرض,
Access Log Entry,سجل الوصول,
Access Log Report,تقرير سجل الوصول,
Action Required,الإجراء المطلوب,
Actual Delivery Datetime,تاريخ ووقت التسليم الفعلي,
Authorized Viewers,المخوّلون بالاطلاع,
Confidentiality,درجة السرية,
Correspondence Authorized Viewer,مخوّل بالاطلاع على المراسلة,
Correspondence Completion Time,مدة إنجاز المراسلات,
Correspondence Items,بنود المراسلات,
Correspondence Numbering Rule,قاعدة ترقيم المراسلات,
Courier Name,اسم المندوب,
Creation Date,تاريخ الإنشاء,
Current Number,الرقم الحالي,
Current Owner,المسؤول الحالي,
Decision Note,ملاحظة القرار,
Delivery Address,عنوان التسليم,
Delivery Method,طريقة التسليم,
Delivery Sheet No,رقم كشف التسليم,
Device Info,معلومات الجهاز,
