About,Sobre,
Action Type,Tipo de Ação,
Archive,Arquivar,
Archived,Arquivado,
Attachments,Anexos,
Branch,Filial,
Category,Categoria,
Channel,Canal,
Comment,Comentário,
Company,Empresa,
Completed,Concluído,
Contact,Contato,
Customer,Cliente,
Date,Data,
Department,Departamento,
Description,Descrição,
Documents,Documentos,
Done,Concluído,
Download,Baixar,
Draft,Rascunho,
Due Date,Data de Vencimento,
Employee,Colaborador,
Event Type,Tipo de Evento,
File Name,Nome do arquivo,
Frappe Support,Suporte Frappe,
From User,Do usuário,
IP Address,Endereço IP,
Incoming,Recebida,
Keyboard Shortcuts,Atalhos de teclado,
Login,Entrar,
Normal,Normal,
Note,Nota,
Open,Aberto,
Outgoing,Saída,
Party,Parceiro,
Prefix,Prefixo,
Priority,Prioridade,
QR Code,Código QR,
Reason,Motivo,
Reference Document Type,Tipo de documento de referência,
Reference Name,Nome de Referência,
Rejected,Rejeitado,
Reply,Resposta,
Result,Resultado,
Scan,Escanear,
Sent,Enviado,
Status,Situação,
Subject,Assunto,
Submit,Submeter,
Success,Sucesso,
Supplier,Fornecedor,
System Health,Saúde do sistema,
System Manager,Gerente do sistema,
Title,Título,
User,Usuário,
View,Visualização,
