About,Om,
Action Type,Handlingstype,
Archive,Arkiver,
Archived,Arkivert,
Attachments,Vedlegg,
Category,Kategori,
Channel,Kanel,
Comment,Kommentar,
Company,Selskap,
Completed,Fullført,
Contact,Kontakt,
Customer,Kunde,
Date,Dato,
Department,Avdeling,
Description,Beskrivelse,
Documents,Dokumenter,
Done,Utført,
Download,Last ned,
Draft,Utkast,
Due Date,Forfallsdato,
Employee,Ansatt,
Event Type,Type hendelse,
File Name,Filnavn,
Frappe Support,Frappe-støtte,
From User,Fra bruker,
IP Address,IP-adresse,
Incoming,Innkommende,
Keyboard Shortcuts,Tastatursnarveier,
Login,Logg inn,
Note,Notat,
Open,Åpne,
Outgoing,Utgående,
Prefix,Prefiks,
Priority,Prioritet,
QR Code,QR-kode,
Reason,Årsak,
Reference Document Type,Referanse-DocType,
Reference Name,Referansenavn,
Rejected,Avvist,
Reply,Svar,
Result,Resultat,
Scan,Skann,
Sent,Sendt,
Status,Status,
Subject,Emne,
Submit,Registrer,
Success,Suksess,
Supplier,Leverandør,
System Health,Systemhelse,
System Manager,Systemansvarlig,
Title,Tittel,
User,Bruker,
View,Vis,
